22, 30 22 50 127 28 22 1 127 120 22 1 127;
25, 55 25 1 127 55 25 50 127;
26, 30 24 50 127 28 26 1 127;
27, 71 27 50 127 69 27 1 127;
29, 94 30 49 127 93 30 1 127;
30, 124 31 1 127;
31, 124 31 1 127;
32, 124 31 1 127;
33, 121 33 1 127;
34, 3 33 50 127 1 33 1 127;
35, 122 35 1 127;
36, 122 35 1 127;
37, 57 37 1 127 58 37 50 127;
38, 74 39 1 127 76 39 50 127 123 38 1 127;
39, 74 39 1 127 76 39 50 127;
40, 74 39 1 127 76 39 50 127;
41, 74 39 1 127 76 39 50 127;
42, 96 42 1 127 98 42 50 127;
43, 97 42 1 127 99 37 50 127 131 43 1 127;
44, 97 42 1 127 99 37 50 127;
45, 115 45 50 127 125 45 1 127 20 45 1 127;
46, 6 45 50 127 5 45 1 127;
47, 6 45 50 127 5 45 1 127 126 47 1 127 32 48 1 127 34 48 50 127;
48, 32 48 1 127 34 48 50 127 128 48 1 127;
49, 63 49 1 127 64 49 50 127;
50, 32 48 1 127 34 48 50 127;
51, 32 48 1 127 34 48 50 127 78 51 1 127 80 51 50 127;
52, 78 51 1 127 80 51 50 127;
53, 78 51 1 127 80 51 50 127 101 54 50 127 100 54 1 127;
54, 78 51 1 127 80 51 50 127 101 54 50 127 100 54 1 127;
55, 101 54 50 127 100 54 1 127;
56, 101 54 50 127 100 54 1 127;
57, 21 57 1 127 116 57 50 127;
58, 7 57 1 127 8 57 50 127;
59, 7 57 1 127 8 57 50 127 35 60 1 127 36 60 50 127;
60, 35 60 1 127 36 60 50 127;
61, 60 61 50 127 59 61 1 127;
62, 82 63 1 127 84 63 50 127;
63, 81 63 1 127 83 63 50 127;
64, 82 63 1 127 84 63 50 127;
65, 82 63 1 127 84 63 50 127;
66, 82 63 1 127 84 63 50 127 103 66 50 127 102 66 1 127;
67, 103 66 50 127 102 66 1 127;
68, 103 66 50 127 102 66 1 127;
69, 12 69 50 127 113 69 1 127;
70, 12 69 50 127 9 69 1 127;
71, 12 69 50 127 9 69 1 127;
72, 38 72 50 127 37 72 1 127;
73, 65 73 1 127 66 73 50 127;
74, 87 75 50 127 105 78 1 127;
75, 87 75 50 127 105 78 1 127;
76, 87 75 50 127 105 78 1 127;
77, 87 75 50 127 105 78 1 127 105 78 1 127 107 78 50 127;
78, 105 78 1 127 107 78 50 127;
79, 105 78 1 127 107 78 50 127;
80, 105 78 1 127 107 78 50 127;
81, 117 81 50 127 22 81 1 127;
82, 14 81 1 127 16 81 50 127;
83, 126 83 1 127;
84, 128 84 1 127;
85, 127 85 1 127;
86, 90 87 50 127 89 87 1 127;
87, 129 86 1 127;
88, 130 88 1 127;
89, 110 90 50 127 108 90 1 127;
90, 110 90 50 127 108 90 1 127;
91, 110 90 50 127 108 90 1 127;
92, 110 90 50 127 108 90 1 127;
93, 23 93 1 127 118 93 50 127;
94, 43 96 50 127 17 93 1 127;
95, 43 96 50 127 17 93 1 127 41 96 1 127;
96, 43 96 50 127 41 96 1 127;
97, 67 97 1 127 68 97 50 127;
98, 43 96 50 127 41 96 1 127;
99, 91 99 50 127 92 99 1 127;
100, 91 99 50 127 92 99 1 127;
101, 91 99 50 127 92 99 1 127 111 102 1 127 112 102 50 127;
102, 111 102 1 127 112 102 50 127;
103, 111 102 1 127 112 102 50 127;
104, 111 102 1 127 112 102 50 127;
105, 119 105 50 127 24 105 1 127;
106, 18 105 1 127 47 108 50 127;
107, 18 105 1 127 47 108 50 127;
108, 47 108 50 127 45 108 1 127;
109, 47 108 50 127 45 108 1 127;
110, 47 108 50 127 45 108 1 127;
